"year","age","Estimate","Low","High"
"2002","3",351282.919571206,186785.894609394,660647.795919082
"2002","4",26565.2247135731,13173.5654649058,53570.2476267823
"2002","5",6218.03618220247,2916.66364495166,13256.233378196
"2002","6",5133.99553553775,2409.62122904976,10938.6113639594
"2002","7",953.993970594786,398.328033407442,2284.8115613301
"2002","8",375.267807547856,140.057185671352,1005.48877022437
"2002","9",69.8382275641292,21.2798313170887,229.201912206058
"2002","10",83.895086147761,26.6932597007128,263.676507052913
"2003","1",243642.254796211,101286.603358227,586075.022303136
"2003","2",61982.4855745103,29071.0230927214,132153.19274251
"2003","3",37272.2512967202,20276.2597911454,68514.6437772774
"2003","4",274397.696285637,164390.234167202,458020.490744498
"2003","5",17953.510190126,9795.41359702949,32906.0661863941
"2003","6",3081.5562512505,1587.34974506268,5982.29152658862
"2003","7",2313.10223758564,1151.48194403306,4646.57043842459
"2003","8",395.245690210263,162.573962074566,960.911290075687
"2003","9",101.120229015832,35.7270239200281,286.206338907565
"2003","10",45.1687524819172,14.5693127786517,140.035170619867
"2004","1",394477.195605333,169553.202996586,917778.343920647
"2004","2",188239.812013615,93863.9072622004,377506.411787642
"2004","3",35800.723195406,20957.5184304164,61156.6577202153
"2004","4",21686.392624206,13094.014289725,35917.1461589337
"2004","5",171972.224059043,125352.955092647,235929.386953468
"2004","6",6716.31218713324,3992.32589618562,11298.8895616294
"2004","7",1710.05427323978,858.696531213031,3405.49368854987
"2004","8",1006.76174472784,466.694526671929,2171.8043660708
"2004","9",141.550770645375,53.5390258296989,374.243280668452
"2004","10",42.2514887404206,13.5667493502736,131.585559273703
"2005","1",171153.563011152,71629.2294853955,408960.732118235
"2005","2",297061.035659001,158610.380323674,556364.966320096
"2005","3",113127.900802794,70118.3874633698,182518.771509577
"2005","4",17289.1077946884,10252.3631568045,29155.5462642743
"2005","5",9946.03321677079,5846.99139999567,16918.7142551947
"2005","6",75918.8287032707,52207.3173524811,110399.630625776
"2005","7",2670.94960934639,1414.74749055458,5042.57605212019
"2005","8",620.75039846936,271.1522922175,1421.08722020606
"2005","9",233.46773007157,91.4937557693616,595.74755158345
"2005","10",57.0429552713061,18.9547485074307,171.666679977771
"2006","1",319884.055289262,136251.877911224,751004.759692008
"2006","2",114939.462874122,57497.2524031689,229768.894575275
"2006","3",174296.667327885,116330.702830776,261146.262356892
"2006","4",56417.3783462181,36218.6262596197,87880.7649038023
"2006","5",7359.22026799364,4250.32870257907,12742.1022566997
"2006","6",3413.67860687115,1871.07539916417,6228.07698514738
"2006","7",23745.8231658497,15140.0974323969,37243.0970369612
"2006","8",710.137993779352,312.975620104716,1611.29473931623
"2006","9",183.360350767495,70.3886887940748,477.648025692572
"2006","10",50.9422676995254,16.600458508789,156.327889196323
"2007","1",77050.3390767523,31318.0964406031,189563.077791204
"2007","2",228440.698057687,119058.790564173,438314.14952057
"2007","3",63757.367329085,37868.1501912499,107346.196426441
"2007","4",96446.2714359328,63738.3009117301,145938.676444727
"2007","5",16588.9591604732,9882.44821549831,27846.6995249489
"2007","6",2142.56233413247,1120.17025638848,4098.10323873759
"2007","7",889.303180978979,390.411149193269,2025.7109699186
"2007","8",7813.38763277706,4502.28130457656,13559.5761726344
"2007","9",137.929649073863,51.3747430779924,370.310135950612
"2007","10",48.9461143657008,16.2784165980092,147.171691858116
"2008","1",173109.716810553,74614.1198619392,401626.047585613
"2008","2",48340.6573892107,23024.3179792881,101493.523453036
"2008","3",137400.074865517,79664.515809514,236978.539079943
"2008","4",29432.6163398725,16158.2937995161,53612.0283093299
"2008","5",40326.6626937114,22440.8027078312,72467.983662851
"2008","6",3757.80939543237,1868.47651664378,7557.56431863789
"2008","7",526.726714371948,211.033656296808,1314.67670371431
"2008","8",216.073765811431,76.917845987194,606.983615736016
"2008","9",2802.84846088385,1369.66390744766,5735.68409882272
"2008","10",38.3155706558224,11.6131204497812,126.415889771382
"2009","1",170119.812824302,74893.8037128182,386423.833223234
"2009","2",116211.257539893,61305.4935620716,220291.128809352
"2009","3",23848.8181126375,14216.4359497269,40007.6451918734
"2009","4",68065.7536722813,47169.6550662891,98218.7980061512
"2009","5",11319.5309711439,6880.14035567431,18623.4255091918
"2009","6",15791.680208631,10049.6483605891,24814.5163754813
"2009","7",958.788562275464,466.446734494939,1970.8048940371
"2009","8",120.536797643166,45.5311601143736,319.102775979628
"2009","9",48.4910399026615,15.6246936504813,150.491331442462
"2009","10",1037.05447798978,519.536572571232,2070.07946523573
"2010","1",42425.8830234354,16963.3813470092,106108.299607116
"2010","2",108955.284832597,61098.8080002664,194296.001534115
"2010","3",53031.6759583531,34108.076924543,82454.3307197742
"2010","4",7120.56522314712,4121.92670027806,12300.6673295942
"2010","5",19852.9563128363,12668.5173256289,31111.7602974758
"2010","6",2315.28212122647,1257.12688624076,4264.11316116288
"2010","7",3229.82744497065,1791.37787967108,5823.33043333161
"2010","8",196.317418215341,78.4014494059826,491.579288224182
"2010","9",17.0590714012604,5.19855924289212,55.9793403280332
"2010","10",216.991621853114,89.6113181344843,525.439921369991
"2011","1",109735.312023265,45438.9682167585,265011.270665298
"2011","2",22172.1787934014,10256.2809319896,47932.1418461958
"2011","3",40237.6685413847,27348.8270968116,59200.7095556611
"2011","4",10040.9885145788,6260.58501061354,16104.1580266031
"2011","5",878.50392685604,466.570608008858,1654.13152104693
"2011","6",2743.57613419135,1563.19793310187,4815.26353426534
"2011","7",261.105738100605,116.827458674973,583.563207162925
"2011","8",317.875026493818,147.469117583716,685.191137806083
"2011","9",20.7933112714771,6.87879255632875,62.8543149240264
"2011","10",23.1548055300365,7.94562159641636,67.4767873888707
"2012","1",66979.3254096218,25817.1268743772,173769.531139442
"2012","2",70927.4433279866,31241.1858537623,161027.889293098
"2012","3",7259.42528868767,2895.05108782248,18203.2212639384
"2012","4",10027.8278665103,3930.34610406028,25584.8541217473
"2012","5",989.59843589594,340.190333718239,2878.69750331824
"2012","6",65.4018387193412,19.7669995434976,216.390985311567
"2012","7",148.292528358196,46.1004040306348,477.016946581489
"2012","8",17.8698194841792,4.59336183600139,69.5199855352862
"2012","9",16.9724940163045,4.40394864989106,65.4107429569186
"2012","10",2.9963752704335,0.659368309053491,13.61646387609
"2013","1",45217.4014316608,16367.2213057344,124921.228474843
